"Image type","Feature Class","Feature Name","Segmentation_segment_auxiliar","Segmentation_segment_Segment_1","Segmentation_segment_Segment_2","Segmentation_segment_Segment_3","Segmentation_segment_Segment_4","Segmentation_segment_Segment_5","Segmentation_segment_Segment_6","Segmentation_segment_Segment_7","Segmentation_segment_Segment_8","Segmentation_segment_Segment_9","Segmentation_segment_Segment_10"
"original","glszm","GrayLevelVariance","","2.884925497500245","3.8268824771287826","2.8065655768553706","4.078259656519313","2.2607173522591992","2.259900813330688","2.637454993643307","3.0004535071217413","2.164255415235238","3.5961548030132655"
"original","glszm","HighGrayLevelZoneEmphasis","","15.483910891089108","18.704433497536947","17.818815331010452","15.145669291338583","13.594704684317719","16.064788732394366","18.364485981308412","16.454918032786885","15.461847389558233","17.902208201892744"
"original","glszm","LargeAreaEmphasis","","606282.5764232674","350289.47290640394","616211.7735191637","582052.1850393701","811853.3584521385","532775.0056338029","497755.9781931464","991820.9631147541","588681.9879518072","414338.8548895899"
"original","glszm","LargeAreaHighGrayLevelEmphasis","","10414909.112623762","8409351.305418719","15305213.770034844","12520910.838582678","12290838.201629328","8588472.0028169","12121240.457943926","16058171.770491803","7364442.210843373","9935363.400630916"
"original","glszm","LargeAreaLowGrayLevelEmphasis","","45539.570239937384","15508.026223847502","25244.833068769898","29301.167037803312","57347.34732179226","35124.18247196273","20924.622065381707","62051.51446607469","51285.46424200202","18499.267712343615"
"original","glszm","LowGrayLevelZoneEmphasis","","0.2737103336848353","0.300946097650883","0.22137458816279124","0.40007287035549133","0.2725418646752659","0.19536375794449232","0.20997912560662896","0.27671448087431694","0.19644033048292944","0.29350790789501924"
"original","glszm","SizeZoneNonUniformity","","471.10767326732673","26.201970443349754","47.257839721254356","55.77165354330709","65.54175152749491","66.04225352112677","42.73831775700935","33.42622950819672","58.41767068273092","48.60883280757098"
"original","glszm","SizeZoneNonUniformityNormalized","","0.14576351276835606","0.12907374602635346","0.16466146244339497","0.2195734391468783","0.13348625565681244","0.18603451696092047","0.13314117681311322","0.13699274388605215","0.11730455960387735","0.1533401665853974"
"original","glszm","SmallAreaEmphasis","","0.3834245902299077","0.34468804212497806","0.41443058129345","0.4789858393277839","0.36104231339787274","0.4394846313003492","0.35869507545924834","0.3591115915408859","0.3373816579110523","0.3928795620964033"
"original","glszm","SmallAreaHighGrayLevelEmphasis","","6.228025391071683","7.010180030367445","7.467690119596999","7.868943352521446","5.232470941810075","7.4891178162820555","6.744665283937335","6.483014439871601","5.47674459371029","7.128782168668514"
"original","glszm","SmallAreaLowGrayLevelEmphasis","","0.10492304248506812","0.09911089759197027","0.10332559134512657","0.18663322201508661","0.09824193730021179","0.08172742924612612","0.07116649924676802","0.08711907158100314","0.0662492182758065","0.11403179394698387"
"original","glszm","ZoneEntropy","","6.455049374904194","5.622038577226222","5.634227137950699","5.136765941786263","5.943955379224995","5.53613167574655","5.827605505659","5.535457810672792","6.291330292062822","5.697871429316216"
"original","glszm","ZonePercentage","","0.01289298265909789","0.011412829594647777","0.013936774632156559","0.009940902508708074","0.012632174740796007","0.01393085586469411","0.014236927307402315","0.010601781446882468","0.015260158117300974","0.01310513043118773"
"original","glszm","ZoneVariance","","600266.7790059453","342612.08765075594","611063.3360123347","571932.9339853679","805586.588524189","527622.1923903987","492822.3380984268","982923.9894349638","584387.7912614313","408516.2502164416"
"original","ngtdm","Busyness","","282.6691024756125","27.18071094577289","23.660647782701126","31.10702340087334","86.06136751069243","28.24240878948101","36.271867998261804","31.28692999549756","60.4150490921308","33.78701860983046"
"original","ngtdm","Coarseness","","9.286021686002603e-05","0.0009400647790432954","0.00094668499817159","0.0008956658428798893","0.0004464276669194494","0.0008478070020501543","0.000633234876130885","0.0009868458482553215","0.0005325668934936474","0.0007804571701471156"
"original","ngtdm","Complexity","","5.111313656748445","4.395789197101845","3.762933655170896","3.4580007224565676","2.679016933246092","4.717844493304237","4.436409625498145","2.1028216155759467","4.074593070067836","3.96570001910451"
"original","ngtdm","Contrast","","0.007864361075279101","0.010879924274877831","0.009154566731131174","0.009429809990846945","0.008345274639320565","0.004939324526553997","0.008679984381117714","0.005716684697048494","0.006396707826349641","0.011410606828850247"
"original","ngtdm","Strength","","0.0023375300714291746","0.0200879512034768","0.019662708735012795","0.016823006911226943","0.0061945730704651425","0.023539742107577127","0.015273456636314133","0.013782537246386093","0.010694629248917379","0.015358580365455914"
